epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6995,1.49824,1.59262,1.91525,0.67887,0.69762,0.69852,0.38392,1.54073,1.37895,2.26175,0.00066,0.00066,0.00066
2,109.691,1.41709,1.43771,1.82475,0.80997,0.72,0.81722,0.42455,1.60077,1.32684,2.29756,0.00132634,0.00132634,0.00132634
3,168.361,1.43841,1.39917,1.81675,0.75977,0.75,0.81143,0.43826,1.43726,1.2304,2.14288,0.00199139,0.00199139,0.00199139
4,229.406,1.41133,1.38758,1.8178,0.7366,0.76,0.81507,0.4445,1.51552,1.18013,2.20682,0.00199561,0.00199561,0.00199561
5,292.826,1.4287,1.33685,1.828,0.75845,0.74,0.82949,0.47488,1.41871,1.14841,2.10489,0.00199219,0.00199219,0.00199219
6,352.938,1.39323,1.36781,1.80734,0.82205,0.76,0.85621,0.4903,1.45044,1.12141,2.15815,0.00198781,0.00198781,0.00198781
7,411.984,1.34748,1.26802,1.74948,0.79888,0.75473,0.81328,0.445,1.44611,1.28427,2.12816,0.00198246,0.00198246,0.00198246
8,471.845,1.35214,1.26918,1.76578,0.76466,0.74732,0.82332,0.45443,1.48209,1.24329,2.16165,0.00197616,0.00197616,0.00197616
9,531.721,1.32375,1.25606,1.7355,0.76219,0.83,0.86408,0.46474,1.47224,1.08652,2.16172,0.0019689,0.0019689,0.0019689
10,592.207,1.31884,1.26011,1.73516,0.81669,0.81,0.87331,0.49221,1.42843,1.0572,2.13469,0.00196069,0.00196069,0.00196069
11,652.873,1.35023,1.23699,1.73527,0.78106,0.78,0.87617,0.48186,1.48597,1.15329,2.21114,0.00195155,0.00195155,0.00195155
12,713.401,1.31475,1.19145,1.70718,0.8178,0.77,0.83135,0.46694,1.39685,1.14066,2.12875,0.00194147,0.00194147,0.00194147
13,774.451,1.31081,1.22077,1.69945,0.79442,0.76,0.83996,0.45375,1.53314,1.15354,2.25399,0.00193048,0.00193048,0.00193048
14,835.14,1.30018,1.18605,1.7033,0.81968,0.86369,0.89353,0.50304,1.47422,1.05009,2.17115,0.00191858,0.00191858,0.00191858
15,895.993,1.30234,1.21228,1.71597,0.78493,0.86,0.88458,0.5069,1.3403,1.05202,2.0698,0.00190578,0.00190578,0.00190578
16,957.076,1.27842,1.16218,1.69298,0.87767,0.81,0.89281,0.51339,1.40251,0.9844,2.10844,0.0018921,0.0018921,0.0018921
17,1017.94,1.29045,1.16016,1.69294,0.82385,0.79511,0.8741,0.4926,1.45058,1.04525,2.13192,0.00187754,0.00187754,0.00187754
18,1078.74,1.28102,1.1331,1.68103,0.76581,0.88,0.89535,0.5044,1.3908,0.99724,2.0714,0.00186213,0.00186213,0.00186213
19,1139.91,1.26827,1.14071,1.68231,0.82533,0.80328,0.89815,0.51711,1.36641,1.04966,2.03444,0.00184588,0.00184588,0.00184588
20,1201.39,1.27282,1.12335,1.69409,0.74225,0.78,0.83157,0.45657,1.47392,1.12612,2.12972,0.00182881,0.00182881,0.00182881
21,1262.42,1.21838,1.09958,1.60613,0.8428,0.83,0.86486,0.49392,1.39323,0.97079,2.10739,0.00181093,0.00181093,0.00181093
22,1323.44,1.29173,1.14368,1.69705,0.84828,0.85,0.9031,0.53581,1.34452,0.97061,2.05982,0.00179225,0.00179225,0.00179225
23,1384.54,1.27207,1.11411,1.69023,0.79314,0.84,0.85159,0.5037,1.35824,1.01702,2.07374,0.00177281,0.00177281,0.00177281
24,1445.86,1.24802,1.1002,1.66554,0.82536,0.76,0.84814,0.47972,1.41419,1.06058,2.11893,0.00175261,0.00175261,0.00175261
25,1506.91,1.24857,1.0883,1.65267,0.79018,0.86619,0.88337,0.50881,1.35263,1.02833,2.02743,0.00173168,0.00173168,0.00173168
26,1567.87,1.25774,1.11271,1.66535,0.78303,0.83007,0.86531,0.49475,1.457,0.9869,2.14869,0.00171004,0.00171004,0.00171004
27,1629.07,1.23515,1.09435,1.65752,0.82804,0.79,0.88742,0.52301,1.41717,0.91416,2.09855,0.0016877,0.0016877,0.0016877
28,1690.17,1.20792,1.07702,1.63291,0.72364,0.85,0.83387,0.49107,1.35386,1.08719,2.04003,0.0016647,0.0016647,0.0016647
29,1751.24,1.22809,1.06518,1.65763,0.83188,0.76,0.87948,0.51199,1.33054,1.00249,2.0426,0.00164105,0.00164105,0.00164105
30,1812.4,1.21812,1.06378,1.62063,0.81824,0.81033,0.85412,0.52244,1.34283,0.91376,2.05229,0.00161678,0.00161678,0.00161678
31,1873.42,1.21473,1.05885,1.63268,0.82709,0.8,0.86069,0.51527,1.34218,1.07942,2.04735,0.00159191,0.00159191,0.00159191
32,1934.36,1.17811,1.02614,1.59187,0.83005,0.81,0.87033,0.50774,1.37131,0.9944,2.06023,0.00156646,0.00156646,0.00156646
33,1995.36,1.18991,1.04915,1.62443,0.81601,0.81,0.85148,0.49175,1.41565,1.02979,2.0939,0.00154047,0.00154047,0.00154047
34,2056.52,1.17825,1.01187,1.62357,0.83563,0.84,0.86032,0.51855,1.38671,0.98288,2.08163,0.00151395,0.00151395,0.00151395
35,2117.91,1.1906,0.99996,1.59486,0.79389,0.88591,0.89009,0.5467,1.24262,0.9487,1.91106,0.00148694,0.00148694,0.00148694
36,2179.26,1.18894,1.01875,1.6044,0.84485,0.83,0.91647,0.54,1.33995,0.93281,2.02753,0.00145945,0.00145945,0.00145945
37,2240.66,1.20857,1.04133,1.61697,0.87998,0.73323,0.87468,0.51122,1.37633,0.98441,2.08185,0.00143152,0.00143152,0.00143152
38,2302.06,1.17679,1.00954,1.59765,0.84639,0.81,0.88335,0.53727,1.2901,0.92132,1.94233,0.00140318,0.00140318,0.00140318
39,2363.8,1.16635,1.00738,1.58015,0.83047,0.78383,0.85205,0.49248,1.38145,0.92722,2.06561,0.00137444,0.00137444,0.00137444
40,2425.37,1.19876,1.03804,1.62312,0.76842,0.86275,0.86867,0.54788,1.32313,0.87656,2.01578,0.00134535,0.00134535,0.00134535
41,2487.01,1.13258,0.96309,1.55568,0.82337,0.84,0.87654,0.53624,1.30568,0.89984,2.01851,0.00131593,0.00131593,0.00131593
