epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.621,1.70913,3.61902,1.78262,0.6031,0.70647,0.66689,0.37155,1.48168,1.55718,1.56864,0.000659259,0.000659259,0.000659259
2,635.159,1.62862,1.71983,1.7222,0.73074,0.55224,0.62713,0.33106,1.49557,1.5344,1.641,0.00132578,0.00132578,0.00132578
3,748.707,1.66434,1.76896,1.7295,0.5775,0.63923,0.60295,0.3038,1.56586,1.51864,1.65885,0.00199173,0.00199173,0.00199173
4,839.893,1.59859,1.65077,1.6825,0.55021,0.62687,0.58286,0.30597,1.57167,1.52746,1.65114,0.00199805,0.00199805,0.00199805
5,918.38,1.62065,1.64232,1.69241,0.57937,0.69897,0.65011,0.35548,1.47041,1.42814,1.59463,0.00199653,0.00199653,0.00199653
6,996.511,1.56337,1.62085,1.69695,0.59005,0.59435,0.62498,0.35446,1.44852,1.47501,1.5829,0.00199458,0.00199458,0.00199458
7,1074.31,1.51196,1.55919,1.64818,0.68592,0.63682,0.7058,0.38877,1.44826,1.29055,1.60491,0.00199219,0.00199219,0.00199219
8,1154.85,1.53321,1.53401,1.65815,0.67517,0.61011,0.64254,0.34384,1.50078,1.42987,1.65238,0.00198938,0.00198938,0.00198938
9,1229.2,1.52049,1.52413,1.64899,0.66901,0.63184,0.68379,0.37403,1.43162,1.34653,1.57354,0.00198614,0.00198614,0.00198614
10,1302.56,1.52309,1.55024,1.65903,0.64267,0.66216,0.65669,0.34949,1.53444,1.42692,1.62932,0.00198246,0.00198246,0.00198246
11,1379.41,1.51117,1.48984,1.63041,0.74984,0.58159,0.69104,0.39112,1.47574,1.34561,1.62654,0.00197837,0.00197837,0.00197837
12,1452.26,1.45141,1.44826,1.57485,0.6953,0.58706,0.69896,0.37874,1.49261,1.33385,1.60797,0.00197384,0.00197384,0.00197384
13,1526.52,1.47818,1.42147,1.58991,0.75045,0.60199,0.69715,0.38308,1.47379,1.37089,1.58433,0.0019689,0.0019689,0.0019689
14,1599.22,1.47992,1.46892,1.6188,0.66453,0.65672,0.66712,0.39429,1.44326,1.3159,1.60075,0.00196353,0.00196353,0.00196353
15,1672.84,1.46291,1.42026,1.58998,0.7007,0.56219,0.63566,0.35333,1.52091,1.4494,1.62714,0.00195775,0.00195775,0.00195775
16,1745.91,1.48921,1.45826,1.61889,0.70576,0.64677,0.70485,0.38349,1.52209,1.31115,1.60641,0.00195155,0.00195155,0.00195155
17,1819.77,1.45552,1.40616,1.59603,0.66238,0.63682,0.6767,0.3843,1.45433,1.33127,1.58879,0.00194493,0.00194493,0.00194493
18,1893.1,1.44689,1.41768,1.58596,0.66674,0.56219,0.64102,0.37234,1.47905,1.34029,1.59656,0.00193791,0.00193791,0.00193791
19,1967.03,1.43917,1.38815,1.5762,0.60879,0.73134,0.69683,0.39574,1.4779,1.30688,1.57843,0.00193048,0.00193048,0.00193048
20,2040.89,1.36814,1.28679,1.5142,0.72816,0.66169,0.71639,0.41709,1.43154,1.26645,1.54714,0.00192264,0.00192264,0.00192264
21,2115.19,1.41226,1.36664,1.56951,0.69018,0.62189,0.67775,0.38343,1.49822,1.28464,1.63244,0.00191441,0.00191441,0.00191441
22,2189.22,1.40752,1.37165,1.56524,0.65781,0.68861,0.72264,0.40793,1.48334,1.26567,1.58977,0.00190578,0.00190578,0.00190578
23,2263.45,1.36787,1.29714,1.52765,0.68491,0.65967,0.69725,0.39575,1.4353,1.29276,1.5718,0.00189675,0.00189675,0.00189675
24,2337.38,1.37844,1.33011,1.55725,0.71022,0.64677,0.71045,0.40454,1.44517,1.30331,1.52776,0.00188734,0.00188734,0.00188734
